date,beta,close,volume,open
2021-10-25,1.73,41.27,46940000.0,39.4
2021-10-22,1.73,38.88,28020000.0,39.96
2021-10-21,1.73,39.97,25390000.0,39.51
2021-10-20,1.73,39.78,25120000.0,39.97
2021-10-19,1.73,40.03,37820000.0,40.27
2021-10-18,1.73,39.61,43500000.0,37.49
2021-10-15,1.73,37.71,48170000.0,36.99
2021-10-14,1.73,36.28,29900000.0,36.21
2021-10-13,1.73,36.24,33439999.999999996,35.78
2021-10-12,1.73,35.51,26590000.0,35.7
2021-10-11,1.73,35.64,25400000.0,36.09
2021-10-08,1.73,35.83,31960000.0,36.44
2021-10-07,1.73,35.99,67950000.0,35.44
2021-10-06,1.73,33.66,22890000.0,33.41
2021-10-05,1.73,33.87,26440000.0,33.3
2021-10-04,1.73,33.4,40820000.0,35.02
2021-10-01,1.73,35.38,34920000.0,36.63
2021-09-30,1.73,35.63,25770000.0,35.63
2021-09-29,1.73,35.13,33549999.999999996,35.44
2021-09-28,1.73,35.05,37510000.0,36.28
2021-09-27,1.73,36.77,36090000.0,35.43
2021-09-24,1.73,35.38,23760000.0,35.59
2021-09-23,1.73,36.01,27150000.0,36.2
2021-09-22,1.73,35.7,26610000.0,35.21
2021-09-21,1.73,34.9,31710000.0,35.52
2021-09-20,1.73,35.17,57610000.0,36.11
2021-09-17,1.73,37.51,29620000.0,37.3
2021-09-16,1.73,37.09,33020000.000000004,37.54
2021-09-15,1.73,38.03,27050000.0,38.0
2021-09-14,1.73,37.89,30860000.0,38.49
2021-09-13,1.73,38.39,38410000.0,38.01
2021-09-10,1.73,37.98,29270000.0,38.62
2021-09-09,1.73,38.45,33810000.0,37.98
2021-09-08,1.73,38.14,51800000.0,39.17
2021-09-07,1.73,40.59,35290000.0,40.85
2021-09-03,1.73,40.37,30390000.0,40.11
2021-09-02,1.73,40.35,43900000.0,39.065
2021-09-01,1.73,39.08,56910000.0,37.49
2021-08-31,1.73,39.31,44940000.0,38.24
2021-08-30,1.73,37.8,38130000.0,38.17
2021-08-27,1.73,38.05,23500000.0,38.23
2021-08-26,1.73,38.26,34430000.0,38.63
2021-08-25,1.73,38.95,25640000.0,38.66
2021-08-24,1.73,38.94,37930000.0,39.24
2021-08-23,1.73,38.17,39610000.0,37.44
2021-08-20,1.73,36.92,43490000.0,36.63
2021-08-19,1.73,36.29,56720000.0,37.89
2021-08-18,1.73,38.86,48280000.0,38.49
2021-08-17,1.73,38.1,60840000.0,37.46
2021-08-16,1.73,38.62,66590000.0,39.46
2021-08-13,1.73,41.03,39160000.0,41.9
2021-08-12,1.73,42.47,50760000.0,44.35
2021-08-11,1.73,43.97,33810000.0,44.71
2021-08-10,1.73,44.22,29570000.0,45.47
2021-08-09,1.73,45.21,30550000.0,43.7
2021-08-06,1.73,43.84,38020000.0,45.55
2021-08-05,1.73,45.6,33360000.0,44.75
2021-08-04,1.73,45.09,35450000.0,45.47
2021-08-03,1.73,44.57,46030000.0,45.23
2021-08-02,1.73,45.85,68450000.0,44.65
2021-07-30,1.73,44.68,66260000.00000001,42.23
2021-07-29,1.73,42.62,46850000.0,42.25
2021-07-28,1.73,41.84,59210000.0,40.91
2021-07-27,1.73,39.36,102710000.0,42.44
2021-07-26,1.73,43.17,54760000.0,42.67
2021-07-23,1.73,43.99,49560000.0,43.67
2021-07-22,1.73,46.07,38940000.0,46.96
2021-07-21,1.73,46.77,59850000.0,44.1
2021-07-20,1.73,44.17,37930000.0,43.6
2021-07-19,1.73,43.35,65290000.00000001,41.49
2021-07-16,1.73,42.8,49930000.0,43.85
2021-07-15,1.73,43.68,55860000.0,43.26
2021-07-14,1.73,43.05,56810000.0,44.84
2021-07-13,1.73,44.96,44690000.0,46.2
2021-07-12,1.73,46.34,54670000.0,45.97
2021-07-09,1.73,45.53,64620000.00000001,46.71
2021-07-08,1.73,45.6,93770000.0,43.86
2021-07-07,1.73,46.04,85810000.0,50.2
2021-07-06,1.73,50.29,67710000.0,49.4
2021-07-02,1.73,50.4,78730000.0,51.26
2021-07-01,1.73,50.9,124530000.0,54.77
2021-06-30,1.73,53.2,92030000.0,50.58
2021-06-29,1.73,50.34,64800000.0,49.15
2021-06-28,1.73,49.4,90200000.0,45.72
2021-06-25,1.73,45.07,32610000.0,45.78
2021-06-24,1.73,45.46,37680000.0,45.91
2021-06-23,1.73,45.41,39490000.0,44.97
2021-06-22,1.73,44.1,61390000.0,45.86
2021-06-21,1.73,46.51,44480000.0,46.55
2021-06-18,1.73,46.91,90780000.0,47.68
2021-06-17,1.73,47.36,64900000.00000001,45.05
2021-06-16,1.73,45.02,47380000.0,44.23
2021-06-15,1.73,45.15,44760000.0,46.21
2021-06-14,1.73,46.55,65290000.00000001,45.95
2021-06-11,1.73,45.68,85730000.0,42.93
2021-06-10,1.73,42.76,34760000.0,42.67
2021-06-09,1.73,42.74,36360000.0,43.53
2021-06-08,1.73,43.56,50330000.0,44.46
2021-06-07,1.73,43.68,53260000.0,41.67
2021-06-04,1.73,41.94,40990000.0,41.43
2021-06-03,1.73,40.9,62440000.0,40.68
2021-06-02,1.73,41.16,66379999.99999999,42.15
2021-06-01,1.73,42.34,101540000.0,39.99
2021-05-28,1.73,38.62,58240000.0,38.745
2021-05-27,1.73,38.91,53060000.0,37.95
2021-05-26,1.73,37.76,55930000.0,36.25
2021-05-25,1.73,36.07,76630000.0,36.32
2021-05-24,1.73,35.89,67240000.0,34.26
2021-05-21,1.73,34.06,49570000.0,34.66
2021-05-20,1.73,34.33,48990000.0,33.98
2021-05-19,1.73,33.46,68800000.0,32.98
2021-05-18,1.73,34.19,64930000.00000001,34.01
2021-05-17,1.73,33.81,64019999.99999999,33.33
2021-05-14,1.73,33.42,80210000.0,31.94
2021-05-13,1.73,31.22,113690000.0,33.85
2021-05-12,1.73,33.68,75990000.0,34.38
2021-05-11,1.73,34.87,113420000.0,32.45
2021-05-10,1.73,34.33,92290000.0,36.78
2021-05-07,1.73,36.94,55550000.0,37.17
2021-05-06,1.73,36.68,71660000.0,37.49
2021-05-05,1.73,37.71,56340000.0,38.34
2021-05-04,1.73,37.93,78260000.0,38.99
2021-05-03,1.73,39.54,80090000.0,40.34
2021-04-30,1.73,39.84,116730000.0,37.73
2021-04-29,1.73,38.99,82660000.0,41.38
2021-04-28,1.73,41.19,57640000.0,40.74
2021-04-27,1.73,41.21,70000000.0,43.02
