date,open,close,volume,beta
2013-04-09,209.56,209.22,2580000.0,0.62
2013-04-08,209.07,209.32,2350000.0,0.62
2013-04-05,209.1,209.41,4150000.0000000005,0.62
2013-04-04,212.77,211.31,3710000.0,0.62
2013-04-03,214.32,212.66,3130000.0,0.62
2013-04-02,212.92,214.36,3120000.0,0.62
2013-04-01,212.8,212.38,2140000.0,0.62
2013-03-28,209.83,213.3,3750000.0,0.62
2013-03-27,210.96,210.89,3220000.0,0.62
2013-03-26,211.77,212.36,2300000.0,0.62
2013-03-25,212.54,210.74,3240000.0,0.62
2013-03-22,212.21,212.08,3030000.0,0.62
2013-03-21,212.96,212.26,5830000.0,0.62
2013-03-20,214.76,215.06,3020000.0,0.62
2013-03-19,214.13,213.44,3200000.0,0.62
2013-03-18,212.9,213.21,3010000.0,0.62
2013-03-15,215.38,214.92,7940000.0,0.62
2013-03-14,212.15,215.8,5510000.0,0.62
2013-03-13,210.2,212.06,3360000.0,0.62
2013-03-12,209.4,210.55,3590000.0,0.62
2013-03-11,210.04,210.08,3050000.0,0.62
2013-03-08,209.85,210.38,3700000.0,0.62
2013-03-07,208.29,209.42,3880000.0,0.62
2013-03-06,207.03,208.38,3590000.0,0.62
2013-03-05,205.86,206.53,3810000.0,0.62
2013-03-04,202.59,205.19,3690000.0,0.62
2013-03-01,200.65,202.91,3310000.0,0.62
2013-02-28,202.18,200.83,4690000.0,0.62
2013-02-27,198.89,202.33,4190000.0000000005,0.62
2013-02-26,198.63,199.14,3390000.0,0.62
2013-02-25,201.67,197.51,3850000.0,0.62
2013-02-22,199.23,201.09,3110000.0,0.62
2013-02-21,198.63,198.33,3920000.0,0.62
2013-02-20,200.62,199.31,3720000.0,0.62
2013-02-19,200.6,200.32,3000000.0,0.62
2013-02-15,199.98,200.98,3630000.0,0.62
2013-02-14,199.73,199.65,3290000.0,0.62
2013-02-13,200.65,200.09,2170000.0,0.62
2013-02-12,200.01,200.04,2460000.0,0.62
2013-02-11,200.98,200.16,2940000.0,0.62
2013-02-08,199.97,201.68,2890000.0,0.62
2013-02-07,200.62,199.74,3080000.0,0.62
2013-02-06,200.39,201.02,3620000.0,0.62
2013-02-05,204.31,202.79,3640000.0,0.62
2013-02-04,204.19,203.79,3190000.0,0.62
2013-02-01,204.65,205.18,3370000.0,0.62
2013-01-31,203.32,203.07,3090000.0,0.62
2013-01-30,203.69,203.52,3000000.0,0.62
2013-01-29,204.34,203.9,3620000.0,0.62
2013-01-28,204.85,204.93,2820000.0,0.62
2013-01-25,204.45,204.97,3360000.0,0.62
2013-01-24,203.91,204.42,4450000.0,0.62
2013-01-23,203.5,204.72,12530000.0,0.62
2013-01-22,194.36,196.08,7170000.0,0.62
2013-01-18,194.03,194.47,4560000.0,0.62
2013-01-17,193.85,193.65,3890000.0,0.62
2013-01-16,192.0,192.59,2960000.0,0.62
2013-01-15,191.31,192.5,4170000.0,0.62
2013-01-14,192.82,192.62,4170000.0,0.62
2013-01-11,194.15,194.45,3880000.0,0.62
2013-01-10,192.65,192.88,3610000.0,0.62
2013-01-09,193.48,192.32,3210000.0,0.62
2013-01-08,192.92,192.87,3030000.0,0.62
2013-01-07,193.4,193.14,2860000.0,0.62
2013-01-04,194.19,193.99,3380000.0,0.62
2013-01-03,195.67,195.27,3650000.0,0.62
2013-01-02,194.09,196.35,4230000.0,0.62
2012-12-31,189.23,191.55,4690000.0,0.62
2012-12-28,191.11,189.83,3540000.0,0.62
2012-12-27,191.53,192.71,3970000.0,0.62
2012-12-26,192.21,191.95,2780000.0,0.62
2012-12-24,193.05,192.4,1630000.0,0.62
2012-12-21,193.1,193.42,8230000.0,0.62
2012-12-20,194.47,194.77,4179999.9999999995,0.62
2012-12-19,195.46,195.08,4270000.0,0.62
2012-12-18,193.85,195.69,4130000.0,0.62
2012-12-17,191.76,193.62,3790000.0,0.62
2012-12-14,191.69,191.76,3830000.0,0.62
2012-12-13,192.18,191.99,3620000.0,0.62
2012-12-12,194.6,192.95,4240000.0,0.62
2012-12-11,193.18,194.2,4139999.9999999995,0.62
2012-12-10,192.17,192.62,3440000.0,0.62
2012-12-07,190.14,191.95,4090000.0,0.62
2012-12-06,189.17,189.7,3220000.0,0.62
2012-12-05,189.01,188.65,4200000.0,0.62
